post_id,Document_preprocessed,Topic,topic_label,date,fs_auto,prob_0,prob_1,post,fs_manual
1071424745-6283.0,nanu pl tzlich warnt das bundesgesundheitsministerium auf twitter vor schweren nebenwirkungen rund einen monat nachdem karl lauterbach in seinem fragw rdigen format zugab dass es tats chlich sehr schwere nebenwirkungen der gen spritzen gibt report berichtete ver ffentlicht auch das bundesgesundheitsministerium eine warnung in den sozialen netzen eine von personen sei demnach von einer schweren nebenwirkung betroffen doch sogar laut pei ist das eine falschaussage und deutlich zu niedrig gegriffen,20,Elon Musk,2022-07-23T07:28:11Z,1,0.150028824342425,0.849971175657575,"Nanu? Plötzlich warnt das Bundesgesundheitsministerium auf Twitter vor schweren Nebenwirkungen

Rund einen Monat, nachdem Karl Lauterbach in seinem fragwürdigen #-Format zugab, dass es tatsächlich sehr schwere Nebenwirkungen der Gen-Spritzen gibt (Report24 berichtete), veröffentlicht auch das Bundesgesundheitsministerium eine Warnung in den sozialen Netzen: Eine von 5.000 Personen sei demnach von einer schweren Nebenwirkung betroffen. Doch sogar laut PEI ist das eine Falschaussage und deutlich zu niedrig gegriffen.",1
1085111365-67.0,die waffe des satans teil psychiatrie das jugendamt und kindesmissbrauch wenn du kinder magst ist das ein muss diesen feind hast du noch nie verd chtigt,19,Glaube,2020-10-05T21:30:50Z,1,0.0331798312052241,0.966820168794776,"🔱Die Waffe des Satans. Teil 3                                                                                     Psychiatrie,  das Jugendamt und Kindesmissbrauch                                                                                                                                                                          ———————————————————   -                                                                 WENN DU KINDER MAGST IST DAS EIN MUSS!                                                            🔱  Diesen Feind hast du noch nie verdächtigt!!!",1
1086671212-12060.0,satanische elite melinda gates im tv dr ngt auf einen globalen impfstoff w hrend sie ein verkehrtes kreuz tr gt videos,18,Verschwörung: Corona,2020-05-14T10:24:27Z,1,0.058507010764851,0.941492989235149,"Satanische Elite: Melinda Gates im TV – drängt auf einen globalen Impfstoff, während sie ein verkehrtes Kreuz trägt (Videos)
",1
1086671212-15229.0,unterwegs nach deutschland jeder zweite in griechenland gemeldete asylbewerber wird vermisst jouwatch,11,Migration,2020-11-15T12:11:05Z,0,0.930584527593502,0.0694154724064976,"Unterwegs nach Deutschland? Jeder zweite in Griechenland gemeldete Asylbewerber wird „vermisst“ › Jouwatch
",0
1100528049-14887.0,grayl geopress trinkwasserfilter hier bestellen informationen trinkflasche mit eingebautem wasserfilter entfernt aller verunreinigungen auch schwermetalle microplastik informiere dich vorher und schaue dir einige reviews im internet an um dir eine vollumf ngliche meinung einzuholen bevor du das produkt kaufst,29,Esotherik,2022-07-31T12:10:26Z,0,0.936051579348768,0.0639484206512319,"GRAYL GeoPress Trinkwasserfilter | HIER BESTELLEN

Informationen

Trinkflasche mit eingebautem Wasserfilter
entfernt 99.99 % aller Verunreinigungen
auch Schwermetalle & Microplastik
__________________________________

Informiere dich vorher und schaue dir einige Reviews im Internet an, um dir eine vollumfängliche Meinung einzuholen, bevor du das Produkt kaufst.",0
1100528049-19525.0,carsten stahl rechnet mit der migrationspolitik ab der messer mord an dem j hrigen m dchen ece s in illerkirchberg baden w rttemberg durch einen asylbewerber aus eritrea hat deutschland ersch ttert und die debatte um kriminalit t von migranten erneut entfacht quelle,11,Migration,2022-12-11T20:30:31Z,1,0.140690065373685,0.859309934626315,"Carsten Stahl rechnet mit der Migrationspolitik ab!

Der Messer-Mord an dem 14-jährigen Mädchen Ece S. in Illerkirchberg (Baden-Württemberg) durch einen Asylbewerber (27) aus Eritrea hat Deutschland erschüttert – und die Debatte um Kriminalität von Migranten erneut entfacht.

Quelle
",1
1100528049-22587.0,keine verschw rungstheorie mehr graphenoxid in pfizer impfstoffen update m rz wie aus offiziellen dokumenten des impfstoffherstellers hervorgeht wird graphenoxid bei der herstellung des coronaimpfstoffs von pfizer verwendet wahrscheinlich ist dies einer der gr nde warum das unternehmen die dokumente jahre lang unter verschluss halten wollte lange zeit wurde dies von den medien und faktenpr fern als verschw rungstheorie abgetan auch rzte wie ryan cole und peter mccullough behaupteten dass in den impfstoffen kein graphenoxid enthalten sei,18,Verschwörung: Corona,2023-03-22T15:45:34Z,1,0.288418753556677,0.711581246443323,"Keine Verschwörungstheorie mehr: Graphenoxid in Pfizer-Impfstoffen – Update, 22. März 2023

Wie aus offiziellen Dokumenten des Impfstoffherstellers hervorgeht, wird Graphenoxid bei der Herstellung des Coronaimpfstoffs von Pfizer verwendet. Wahrscheinlich ist dies einer der Gründe, warum das Unternehmen die Dokumente 75 Jahre lang unter Verschluss halten wollte.

Lange Zeit wurde dies von den Medien und „Faktenprüfern“ als Verschwörungstheorie abgetan. Auch Ärzte wie Ryan Cole und Peter McCullough behaupteten, dass in den Impfstoffen kein Graphenoxid enthalten sei.

",1
1101819845-84034.0,alles wird sich wenden wenn wir anfangen gott in unserem leben wieder als quelle zu erkennen und anzuerkennen nicht den gott der religion dieser wurde von menschen erfunden und geschaffen um die menschheit gegeneinander aufzubringen um spaltung zu erzeugen seit tausenden von jahren sondern der eine wahre gott mit dem wir uns von herzen und aus der seele heraus verbinden der gott der durch unsere adern flie t und in unserem herzen brennt der sich in der liebe zu unseren mitmenschen den tieren und der erde ausdr ckt das hat nichts mit kirche oder religion zu tun es ist ein wissen es ist ein sein,19,Glaube,2023-03-12T14:26:49Z,1,0.304584379787753,0.695415620212247,"Alles wird sich wenden, wenn wir anfangen, GOTT in unserem Leben wieder als Quelle zu erkennen und anzuerkennen.Nicht den ""GOTT"" der Religion. Dieser wurde von Menschen erfunden und geschaffen, um die Menschheit gegeneinander aufzubringen. Um Spaltung zu erzeugen, seit Tausenden von Jahren. Sondern der eine wahre GOTT, mit dem wir uns von Herzen und aus der Seele heraus verbinden, der GOTT, der durch unsere Adern fließt und in unserem Herzen brennt. Der sich in der Liebe zu unseren Mitmenschen, den Tieren und der Erde ausdrückt. Das hat nichts mit Kirche oder Religion zu tun. Es ist ein Wissen, es ist ein Sein.",0
1107559239-103765.0,es f ngt bei homosexualit t an und h rt dort auf die wahrheit ist nichts davon ist angeboren sondern ausnahmlos die umgebung pr gt die kinder und macht sie insbesondere heutzutage systematisch psychisch krank all das sind identit tsst rungen und das ist gewollt hinterdenkulissen,21,Gender and LGBTQ,2023-05-07T17:50:44Z,1,0.0473817748393097,0.95261822516069,"Es fängt bei Homosexualität an und hört dort auf...

Die Wahrheit ist, nichts davon ist ""angeboren"", sondern ausnahmlos die Umgebung prägt die Kinder und macht sie (insbesondere heutzutage) systematisch psychisch krank! 

All das sind Identitätsstörungen und das ist gewollt.

HinterdenKulissen2",1
1107559239-64105.0,gasvorr te deutschland aktuell ca noch ein paar knackig kalte tage im februar dann treffen wir uns sowieso alle drau en an den feuertonnen historical de,7,Energiekrise,2022-01-25T11:30:13Z,0,0.775392282920701,0.224607717079299,"Gasvorräte Deutschland aktuell ca.41%. Noch ein paar knackig kalte Tage im Februar, dann treffen wir uns sowieso alle draußen; an den Feuertonnen.
👉 #/historical/DE",1
1107559239-77460.0,ampel einigt sich so sollen habeck und lemke f r verbrenner aus stimmen welt liegt ein kompromissvorschlag der bundesregierung vor demnach sollen habeck und lemke f r das verbrenner aus stimmen gleichzeitig soll die eu an neuen ausnahmen f r synthetische kraftstoffe arbeiten,7,Energiekrise,2022-06-29T08:10:14Z,0,0.968560149521569,0.0314398504784308,"Ampel einigt sich – So sollen Habeck und Lemke für Verbrenner-Aus 2035 stimmen
————
WELT liegt ein Kompromissvorschlag der Bundesregierung vor. Demnach sollen Habeck und Lemke für das Verbrenner-Aus stimmen. Gleichzeitig soll die EU an neuen Ausnahmen für synthetische Kraftstoffe arbeiten.
👉🏻",0
1109357927-149.0,nieder mit dem satanistenpack froh hoffnungsvoll tatkr ftig statt frustriert oder gar gel hmt mut courage statt angst schrecken wichtigster bibel satz f rchte dich nicht die sch pfung selbst steht auf gegen ihre zerst rer,19,Glaube,2021-01-02T21:35:10Z,0,0.572887064194166,0.427112935805834,"Nieder mit dem Satanistenpack!: froh, hoffnungsvoll + tatkräftig - statt frustriert oder gar gelähmt. Mut + Courage - statt Angst + Schrecken. Wichtigster Bibel-Satz: „Fürchte Dich nicht!“ Die Schöpfung selbst steht auf gegen ihre Zerstörer.",0
1113309225-3424.0,in belgien quarant ne immer mehr f lle von affenpocken droht jetzt die n chste pandemie,8,Corona: Maßnahmen,2022-05-23T01:15:46Z,1,0.406683395162088,0.593316604837912,"In Belgien Quarantäne: Immer mehr Fälle von Affenpocken - droht jetzt die nächste Pandemie?
",0
1116292659-2650.0,vegan ern hren oh je spinnt der autor jetzt komplett vegane ern hrung soll doch die ges ndeste der welt sein behaupten zumindest die veganer und auch die nicht veganer die veganer ern hrung wegen ihrer fleischlichen vorlieben kritisch gegen ber stehen haben nicht selten ein schlechtes gewissen bei der befriedigung ihrer oralen fleischeslust weil sie insgeheim veganer auch f r die ges nderen halten es tut mir furchtbar leid aber diesen zahn muss ich den veganern ziehen gesundheitsecke,30,Umwelt,2020-07-04T13:35:26Z,0,0.829974876375789,0.170025123624211,"Vegan ernährenOh je, spinnt der Autor jetzt komplett? Vegane Ernährung soll doch die gesündeste der Welt sein. Behaupten zumindest die Veganer. Und auch die Nicht-Veganer, die veganer Ernährung wegen ihrer fleischlichen Vorlieben kritisch gegenüber stehen, haben nicht selten ein schlechtes Gewissen bei der Befriedigung ihrer oralen Fleischeslust, weil sie insgeheim Veganer auch für die Gesünderen halten. Es tut mir furchtbar leid, aber diesen Zahn muss ich den Veganern ziehen.➡️ @",0
